uni_name,count,kategoria
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,193,a+
Uniwersytet_Jagielloński_w_Krakowie,125,a+
Uniwersytet_Warszawski,92,a+
Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,71,b+
Uniwersytet_Gdański,67,a
Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,60,b+
Uniwersytet_Śląski_w_Katowicach,53,b+
Uniwersytet_Pedagogiczny_Komisji_Edukacji_Narodowej_w_Krakowie,52,b
Uniwersytet_Adama_Mickiewicza_w_Poznaniu,51,b+
Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,45,a
Uniwersytet_Wrocławski,44,a
Akademia_Ignatianum_w_Krakowie,37,b+
Uniwersytet_Marii_Curie-Skłodowskiej_w_Lublinie,35,b+
Uniwersytet_Kazimierza_Wielkiego_w_Bydgoszczy,35,b
Uniwersytet_Łódzki,35,b+
Uniwersytet_Szczeciński,35,b
Krakowska_Akademia_Andrzeja_Frycza_Modrzewskiego_w_Krakowie,29,b
Instytut_Psychologii_Polskiej_Akademii_Nauk,28,a+
Uniwersytet_Jana_Kochanowskiego_w_Kielcach,27,b
Akademia_Ekonomiczno-Humanistyczna_w_Warszawie,22,b+
Uniwersytet_Mikołaja_Kopernika_w_Toruniu,21,b+
Uniwersytet_Opolski,19,a
Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie,13,b
Wyższa_Szkoła_Bankowa_w_Toruniu,13,b
